#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
#datatype,string,long,double,double,double,double,long,double,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,long,double,string,string,dateTime:RFC3339
#default,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_field,_measurement,_time
,,1,0.681399,-0.291677,-1.457646,0.353433,1,0.333327,4.375365,2.04479,9.036356,0.230444,1,0.84633,31.225123,12.01385,34.452402,1,0.393384,0.150792,0.012921,0.307191,1,0.557996,4.867889,-7.540865,15.18075,1,0.485421,0.485421,0,1,readings,mem,2021-06-25T14:26:04.777700-04:00
,,1,0.6855,-0.292639,-1.44909,0.352663,1,0.147152,3.014676,1.986545,8.973411,0.227806,1,0.813562,30.261294,12.142292,34.905453,1,0.351545,0.118147,0.014412,0.305387,1,0.533411,4.355996,-7.520255,15.11209,1,0.484593,0.484593,0,1,readings,mem,2021-06-25T14:26:14.864244-04:00
,,1,0.69111,-0.271642,-1.441442,0.353253,1,0.220917,3.491265,1.943519,8.944193,0.204612,1,0.893784,34.23907,12.166589,35.543184,1,0.32588,0.123058,0.015675,0.303374,1,0.561869,4.959218,-7.503564,15.045774,1,0.516163,0.516163,0,1,readings,mem,2021-06-25T14:26:24.951552-04:00
,,1,0.642347,-0.307011,-1.432963,0.351394,1,0.160946,2.994469,1.863615,8.889931,0.206505,1,0.833828,32.024076,12.178931,36.206637,1,0.401468,0.153495,0.017021,0.301628,1,0.562997,4.87166,-7.452138,14.972895,1,0.458165,0.458165,0,1,readings,mem,2021-06-25T14:26:35.037705-04:00
,,1,0.694206,-0.207096,-1.424602,0.349287,1,0.192245,3.180859,1.829406,8.858802,0.196201,1,0.684535,28.472531,12.333825,36.540199,1,0.401623,0.125331,0.018571,0.300367,1,0.524024,4.1221,-7.431031,14.907926,1,0.396529,0.396529,0,1,readings,mem,2021-06-25T14:26:45.125102-04:00
,,0,0.233242,-0.135477,-0.565959,0.139103,0,0.054713,1.09126,0.70635,3.520397,0.070857,0,0.200982,9.807932,5.044302,14.534588,0,0.149163,0.047861,0.008122,0.119347,0,0.21176,1.687715,-2.973501,5.932961,0,0.135388,0.135388,0,0.4,readings,mem,2021-06-25T14:26:55.211462-04:00
,,1,0.639746,-0.334789,-1.408857,0.344821,1,0.2135,3.233315,1.729529,8.774244,0.180606,1,0.682006,28.270378,12.771749,36.283503,1,0.328583,0.128182,0.021064,0.297136,1,0.529156,4.240081,-7.436939,14.793028,1,0.427411,0.427411,0,1,readings,mem,2021-06-25T14:27:05.297690-04:00
,,1,0.634706,-0.31121,-1.400533,0.341605,1,0.190692,3.008797,1.662031,8.724569,0.185108,1,0.71805,29.222298,12.965961,36.393903,1,0.306456,0.11018,0.02211,0.295421,1,0.525931,4.123339,-7.442236,14.738419,1,0.453335,0.453335,0,1,readings,mem,2021-06-25T14:27:15.384793-04:00
,,1,0.730495,-0.061217,-1.394025,0.341243,1,0.216079,3.16249,1.637923,8.693033,0.191735,1,0.470097,24.183696,13.150037,36.327974,1,0.310104,0.116129,0.023007,0.293594,1,0.552297,4.501184,-7.424622,14.678394,1,0.360964,0.360964,0,1,readings,mem,2021-06-25T14:27:25.471785-04:00
,,1,0.768839,-0.172278,-1.392398,0.349121,1,0.177498,2.84297,1.59315,8.634466,0.196077,1,0.457541,23.898807,13.273741,36.129021,1,0.30598,0.112831,0.023932,0.291873,1,0.537225,4.27951,-7.402576,14.618123,1,0.356958,0.356958,0,1,readings,mem,2021-06-25T14:27:35.558876-04:00
,,1,0.662406,-0.314449,-1.388604,0.353318,1,0.147982,2.603044,1.560329,8.605412,0.183069,1,0.719724,29.165696,13.451603,36.064002,1,0.314808,0.117442,0.024832,0.290204,1,0.536851,4.283721,-7.393659,14.561876,1,0.445103,0.445103,0,1,readings,mem,2021-06-25T14:27:45.644465-04:00
,,0,0.235356,-0.14774,-0.551493,0.139903,0,0.099562,1.301867,0.59975,3.420582,0.075214,0,0.27154,11.344201,5.457924,14.513568,0,0.136377,0.048894,0.010387,0.115243,0,0.21817,1.688316,-2.940259,5.793233,0,0.17157,0.17157,0,0.4,readings,mem,2021-06-25T14:27:55.732435-04:00
,,1,0.677471,-0.181194,-1.373775,0.348016,1,0.228193,3.091336,1.486689,8.517436,0.200543,1,0.656404,27.969149,13.779945,36.273335,1,0.301556,0.113157,0.026557,0.287016,1,0.528709,3.9901,-7.345987,14.445688,1,0.441285,0.441285,0,1,readings,mem,2021-06-25T14:28:05.818088-04:00
,,1,0.692279,-0.289432,-1.36796,0.348895,1,0.255919,3.25229,1.463129,8.454256,0.21615,1,0.591159,26.860095,13.954397,36.241595,1,0.310258,0.112395,0.027369,0.28547,1,0.514566,3.799488,-7.357307,14.398177,1,0.422495,0.422495,0,1,readings,mem,2021-06-25T14:28:15.905318-04:00
,,1,0.665037,-0.212736,-1.361094,0.34736,1,0.186836,2.752927,1.450456,8.424629,0.215428,1,0.617197,27.285113,14.117841,36.146145,1,0.3124,0.111755,0.028178,0.283981,1,0.533711,4.111605,-7.361947,14.349498,1,0.429059,0.429059,0,1,readings,mem,2021-06-25T14:28:25.991712-04:00
,,1,0.715517,-0.125296,-1.35518,0.347557,1,0.319271,3.643517,1.426921,8.369608,0.228335,1,0.80759,31.931246,14.221137,36.312556,1,0.310568,0.121076,0.028949,0.282516,1,0.627865,5.899495,-7.318537,14.295253,1,0.508864,0.508864,0,1,readings,mem,2021-06-25T14:28:36.078465-04:00
,,1,0.736416,-0.232114,-1.35266,0.352876,1,0.338389,3.77529,1.436855,8.332745,0.278209,1,0.606711,27.658819,14.340283,36.436624,1,0.296758,0.117096,0.029671,0.281056,1,0.531908,3.861173,-7.270461,14.240712,1,0.47089,0.47089,0,1,readings,mem,2021-06-25T14:28:46.165380-04:00
,,0,0.305,-0.137289,-0.539062,0.142683,0,0.105298,1.299093,0.582121,3.305714,0.114288,0,0.277519,11.666784,5.800576,14.563684,0,0.154421,0.050682,0.012281,0.111745,0,0.268966,2.200403,-2.899162,5.677697,0,0.182905,0.182905,0,0.4,readings,mem,2021-06-25T14:28:56.251851-04:00
,,1,0.665001,-0.3289,-1.344079,0.357374,1,0.284886,3.386328,1.452638,8.2344,0.294038,1,0.258307,20.573836,14.49816,36.33647,1,0.274416,0.09638,0.031201,0.27845,1,0.515978,3.622877,-7.242986,14.163411,1,0.366941,0.366941,0,1,readings,mem,2021-06-25T14:29:06.338993-04:00
,,1,0.599904,-0.393349,-1.337223,0.354172,1,0.123775,2.280845,1.447691,8.178896,0.26524,1,0.305287,21.669183,14.417515,36.202964,1,0.294636,0.114457,0.031754,0.277006,1,0.523812,3.762296,-7.248829,14.119789,1,0.354447,0.354447,0,1,readings,mem,2021-06-25T14:29:16.425212-04:00
,,1,0.530622,-0.562494,-1.330865,0.34913,1,0.262363,3.192739,1.426466,8.158524,0.241041,1,0.411859,23.664377,14.427595,36.056017,1,0.326813,0.140973,0.032375,0.275665,1,0.503278,3.569216,-7.284275,14.085759,1,0.373441,0.373441,0,1,readings,mem,2021-06-25T14:29:26.513112-04:00
,,1,0.504437,-0.364433,-1.327596,0.343843,1,0.251074,3.07769,1.387049,8.120689,0.241549,1,0.368722,22.73658,14.503473,35.932768,1,0.347145,0.101191,0.03321,0.274674,1,0.49071,3.086723,-7.314415,14.05082,1,0.349066,0.349066,0,1,readings,mem,2021-06-25T14:29:36.598804-04:00
,,1,0.604444,-0.376157,-1.321727,0.339533,1,0.300259,3.396188,1.384909,8.091114,0.241123,1,0.201674,18.9972,14.366128,35.835066,1,0.251312,0.10517,0.033733,0.273351,1,0.480053,2.981937,-7.378301,14.027692,1,0.33236,0.33236,0,1,readings,mem,2021-06-25T14:29:46.686290-04:00
